date,year,month,day,day_of_week,day_name,is_weekend,is_extended_weekend,tithi_num,tithi_name,is_ekadashi,is_pournami,is_amavasya,is_purattasi_season,is_purattasi_saturday,is_karthika_masam,is_major_festival,festival_name,is_eclipse_day,is_exam_season,is_summer_vacation,is_public_holiday,holiday_count,holiday_names,pilgrim_count,compartments_filled,sarva_darshan_wait_hours,sed_wait_hours,divya_darshan_wait_hours,hundi_crores,tonsures,laddus_distributed,rush_level
2018-01-01,2018,1,1,0,Monday,0,1,15,Pournami (Full Moon),0,1,0,0,0,0,1,English New Year,0,0,0,1,1,New Year's Day,98000,31,36.0,7.3,19.8,4.66,39200,431200,PEAK
2018-01-02,2018,1,2,1,Tuesday,0,0,16,Pratipada (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,86636,31,24.6,5.7,13.5,4.45,34654,381198,PEAK
2018-01-03,2018,1,3,2,Wednesday,0,0,17,Dwitiya (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,53959,6,6.1,1.9,3.5,3.83,21583,237419,LOW
2018-01-04,2018,1,4,3,Thursday,0,0,18,Tritiya (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-01-05,2018,1,5,4,Friday,0,0,19,Chaturthi (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,63274,13,9.9,2.6,5.4,4.0,25309,278405,MODERATE
2018-01-06,2018,1,6,5,Saturday,1,0,20,Panchami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,72287,20,14.2,3.5,7.8,4.17,28914,318062,MODERATE
2018-01-07,2018,1,7,6,Sunday,1,0,21,Shasthi (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,69617,18,12.9,3.3,7.1,4.12,27846,306314,MODERATE
2018-01-08,2018,1,8,0,Monday,0,0,22,Saptami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,51171,4,5.1,1.7,3.5,3.77,20468,225152,LOW
2018-01-09,2018,1,9,1,Tuesday,0,0,23,Ashtami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-01-10,2018,1,10,2,Wednesday,0,0,24,Navami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,58101,10,7.5,2.2,4.1,3.9,23240,255644,LOW
2018-01-11,2018,1,11,3,Thursday,0,0,25,Dashami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,61757,12,9.2,2.5,5.1,3.97,24702,271730,LOW
2018-01-12,2018,1,12,4,Friday,0,0,26,Ekadashi (Krishna),1,0,0,0,0,0,0,None,0,0,0,0,0,None,87502,31,25.5,5.8,14.0,4.46,35000,385008,PEAK
2018-01-13,2018,1,13,5,Saturday,1,1,27,Dwadashi (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,98000,31,36.0,7.3,19.8,4.66,39200,431200,PEAK
2018-01-14,2018,1,14,6,Sunday,1,1,28,Trayodashi (Krishna),0,0,0,0,0,0,0,None,0,0,0,1,1,Makara Sankranti / Pongal,98000,31,36.0,7.3,19.8,4.66,39200,431200,PEAK
2018-01-15,2018,1,15,0,Monday,0,1,29,Chaturdashi (Krishna),0,0,0,0,0,0,0,None,0,0,0,1,1,Kanuma / Thiruvalluvar Day,98000,31,36.0,7.3,19.8,4.66,39200,431200,PEAK
2018-01-16,2018,1,16,1,Tuesday,0,0,30,Amavasya (New Moon),0,0,1,0,0,0,0,None,0,0,0,1,1,Mukkanuma / Uzhavar Thirunal,98000,31,36.0,7.3,19.8,4.66,39200,431200,PEAK
2018-01-17,2018,1,17,2,Wednesday,0,0,1,Pratipada (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,96120,31,34.1,7.0,18.8,4.63,38448,422928,PEAK
2018-01-18,2018,1,18,3,Thursday,0,0,2,Dwitiya (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,81500,27,20.3,4.9,11.2,4.35,32600,358600,HIGH
2018-01-19,2018,1,19,4,Friday,0,0,3,Tritiya (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,82053,28,20.7,5.0,11.4,4.36,32821,361033,HIGH
2018-01-20,2018,1,20,5,Saturday,1,0,4,Chaturthi (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,71219,19,13.6,3.4,7.5,4.15,28487,313363,MODERATE
2018-01-21,2018,1,21,6,Sunday,1,0,5,Panchami (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,69151,17,12.7,3.2,7.0,4.11,27660,304264,MODERATE
2018-01-22,2018,1,22,0,Monday,0,0,6,Shasthi (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,53758,6,6.0,1.9,3.5,3.82,21503,236535,LOW
2018-01-23,2018,1,23,1,Tuesday,0,0,7,Saptami (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-01-24,2018,1,24,2,Wednesday,0,0,8,Ashtami (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-01-25,2018,1,25,3,Thursday,0,0,9,Navami (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,50377,3,4.8,1.7,3.5,3.76,20150,221658,LOW
2018-01-26,2018,1,26,4,Friday,0,1,10,Dashami (Shukla),0,0,0,0,0,0,0,None,0,0,0,1,1,Republic Day,90430,31,28.4,6.3,15.6,4.52,36172,397892,PEAK
2018-01-27,2018,1,27,5,Saturday,1,1,11,Ekadashi (Shukla),1,0,0,0,0,0,0,None,0,0,0,0,0,None,96283,31,34.3,7.1,18.9,4.63,38513,423645,PEAK
2018-01-28,2018,1,28,6,Sunday,1,1,12,Dwadashi (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,89699,31,27.7,6.2,15.2,4.5,35879,394675,PEAK
2018-01-29,2018,1,29,0,Monday,0,0,13,Trayodashi (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,66490,16,11.4,2.9,6.3,4.06,26596,292556,MODERATE
2018-01-30,2018,1,30,1,Tuesday,0,0,14,Chaturdashi (Shukla),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-01-31,2018,1,31,2,Wednesday,0,0,15,Pournami (Full Moon),0,1,0,0,0,0,0,None,0,0,0,0,0,None,56145,8,6.9,2.0,3.8,3.87,22458,247038,LOW
2018-02-01,2018,2,1,3,Thursday,0,0,16,Pratipada (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,49493,3,4.5,1.6,3.5,3.74,19797,217769,LOW
2018-02-02,2018,2,2,4,Friday,0,0,17,Dwitiya (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,62279,13,9.5,2.5,5.2,3.98,24911,274027,MODERATE
2018-02-03,2018,2,3,5,Saturday,1,0,18,Tritiya (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,73977,21,15.3,3.7,8.4,4.21,29590,325498,HIGH
2018-02-04,2018,2,4,6,Sunday,1,0,19,Chaturthi (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,66844,16,11.6,3.0,6.4,4.07,26737,294113,MODERATE
2018-02-05,2018,2,5,0,Monday,0,0,20,Panchami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,53140,6,5.8,1.8,3.5,3.81,21256,233816,LOW
2018-02-06,2018,2,6,1,Tuesday,0,0,21,Shasthi (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48772,2,4.3,1.6,3.5,3.73,19508,214596,LOW
2018-02-07,2018,2,7,2,Wednesday,0,0,22,Saptami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,48000,2,4.0,1.5,3.5,3.71,19200,211200,LOW
2018-02-08,2018,2,8,3,Thursday,0,0,23,Ashtami (Krishna),0,0,0,0,0,0,0,None,0,0,0,0,0,None,50006,3,4.7,1.6,3.5,3.75,20002,220026,LOW
